"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "PostCSS", "TypeScript JSX", "YAML", "XML", "Docker", "JavaScript", "Prisma", "Ignore", "JavaScript JSX", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\domain\repo-interface\IPropertyRepo.interface.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\domain\value-objects\address.value.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\infrastructure\repo\PrismaProperty.repository.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 82
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\infrastructure\repo\PrismaPropertyQuery.repository.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\infrastructure\repo\prisma.property.select.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\property.controller.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 87
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\property.module.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\spec\propertyDomain.spec.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\review\application\dto\changeReview.dto.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\review\application\dto\createReview.dto.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
